date,willpower,negative_reinforcement,obsession,positive_reinforcement,program
2023-8-6,56,58,75,68,52
2023-8-7,78,53,75,68,56
2023-8-8,78,53,78,75,57
2023-8-9,67,58,78,68,54
2023-8-12,78,58,78,68,56
2023-8-13,56,63,78,82,56
2023-8-14,78,68,78,75,61
2023-8-15,78,68,78,75,61
2023-8-16,78,79,78,75,63
2023-8-22,56,58,78,68,51
2023-8-23,89,68,78,96,69
2023-8-24,78,84,78,82,67
2023-8-25,56,58,78,68,51
2023-8-28,89,74,78,75,65
2023-9-3,67,53,78,60,50
2023-9-19,67,63,78,46,50
2023-9-20,78,84,78,60,61
2023-9-21,67,68,78,82,60
2023-10-2,78,68,78,89,64
2023-10-6,78,84,78,57,60
2023-10-11,89,61,80,53,56
2023-10-12,89,74,80,40,56
2023-11-1,78,93,67,64,67
2023-11-15,89,50,85,100,64
